   0.6013997E+01  0.2309052E+03  0.2400000E+00
   0.6394417E+01  0.2358449E+03  0.2450000E+00
   0.6792000E+01  0.2407926E+03  0.2500000E+00
   0.7630234E+01  0.2507123E+03  0.2600000E+00
   0.8547734E+01  0.2606657E+03  0.2700000E+00
   0.9550119E+01  0.2706547E+03  0.2800000E+00
   0.1064176E+02  0.2806810E+03  0.2900000E+00
   0.1183700E+02  0.2907468E+03  0.3000000E+00
   0.1313212E+02  0.3008540E+03  0.3100000E+00
   0.1454457E+02  0.3110049E+03  0.3200000E+00
   0.1606625E+02  0.3212015E+03  0.3300000E+00
   0.1770651E+02  0.3314461E+03  0.3400000E+00
   0.1948534E+02  0.3417409E+03  0.3500000E+00
   0.2139212E+02  0.3520883E+03  0.3600000E+00
   0.2344682E+02  0.3624908E+03  0.3700000E+00
   0.2565069E+02  0.3729507E+03  0.3800000E+00
   0.2800249E+02  0.3834706E+03  0.3900000E+00
   0.3051157E+02  0.3940528E+03  0.4000000E+00
   0.3318980E+02  0.4046997E+03  0.4100000E+00
   0.3604591E+02  0.4154142E+03  0.4200000E+00
   0.3906929E+02  0.4261986E+03  0.4300000E+00
   0.4227056E+02  0.4370554E+03  0.4400000E+00
   0.4566906E+02  0.4479871E+03  0.4500000E+00
   0.4925605E+02  0.4589965E+03  0.4600000E+00
   0.5305088E+02  0.4700860E+03  0.4700000E+00
   0.5704294E+02  0.4812584E+03  0.4800000E+00
   0.6125096E+02  0.4925162E+03  0.4900000E+00
   0.6566682E+02  0.5038620E+03  0.5000000E+00
   0.7031050E+02  0.5152983E+03  0.5100000E+00
   0.7518511E+02  0.5268279E+03  0.5200000E+00
   0.8028441E+02  0.5384534E+03  0.5300000E+00
   0.8562714E+02  0.5501774E+03  0.5400000E+00
   0.9704908E+02  0.5739316E+03  0.5600000E+00
   0.1094822E+03  0.5981114E+03  0.5800000E+00
   0.1230200E+03  0.6227388E+03  0.6000000E+00
   0.1376376E+03  0.6478351E+03  0.6200000E+00
   0.1534473E+03  0.6734220E+03  0.6400000E+00
   0.1704491E+03  0.6995213E+03  0.6600000E+00
   0.1886244E+03  0.7261534E+03  0.6800000E+00
   0.2081977E+03  0.7533404E+03  0.7000000E+00
   0.2290381E+03  0.7811045E+03  0.7200000E+00
   0.2512703E+03  0.8094666E+03  0.7400000E+00
   0.2748819E+03  0.8384481E+03  0.7600000E+00
   0.2999852E+03  0.8680703E+03  0.7800000E+00
   0.3266614E+03  0.8983562E+03  0.8000000E+00
   0.3548230E+03  0.9293273E+03  0.8200000E+00
   0.3845700E+03  0.9610045E+03  0.8400000E+00
   0.4158899E+03  0.9934085E+03  0.8600000E+00
   0.4488887E+03  0.1026560E+04  0.8800000E+00
   0.4836663E+03  0.1060482E+04  0.9000000E+00
   0.5201292E+03  0.1095195E+04  0.9200000E+00
   0.5583646E+03  0.1130720E+04  0.9400000E+00
   0.5984850E+03  0.1167079E+04  0.9600000E+00
   0.6405027E+03  0.1204292E+04  0.9800000E+00
   0.6843805E+03  0.1242383E+04  0.1000000E+01
   0.7300683E+03  0.1281368E+04  0.1020000E+01
   0.7779406E+03  0.1321271E+04  0.1040000E+01
   0.8277477E+03  0.1362113E+04  0.1060000E+01
   0.8796146E+03  0.1403914E+04  0.1080000E+01
   0.9335412E+03  0.1446694E+04  0.1100000E+01
   0.9900891E+03  0.1490479E+04  0.1120000E+01
   0.1047386E+04  0.1535280E+04  0.1140000E+01
   0.1108615E+04  0.1581120E+04  0.1160000E+01
   0.1170843E+04  0.1628025E+04  0.1180000E+01
   0.1236129E+04  0.1676010E+04  0.1200000E+01
   0.1303288E+04  0.1725099E+04  0.1220000E+01
   0.1373442E+04  0.1775313E+04  0.1240000E+01
   0.1444533E+04  0.1826667E+04  0.1260000E+01
   0.1519743E+04  0.1879181E+04  0.1280000E+01
   0.1596701E+04  0.1932884E+04  0.1300000E+01
   0.1675843E+04  0.1987788E+04  0.1320000E+01
   0.1757856E+04  0.2043912E+04  0.1340000E+01
